시행 : 0 S | 0 B
87805번째 시행 : 1 S | 1 B
87806번째 시행 : 1 S | 1 B
87807번째 시행 : 2 S | 0 B
87808번째 시행 : 1 S | 0 B
87809번째 시행 : 0 S | 1 B
87810번째 시행 : 0 S | 1 B
87811번째 시행 : 0 S | 0 B
87812번째 시행 : 1 S | 1 B
87813번째 시행 : 0 S | 1 B
87814번째 시행 : 0 S | 1 B
87815번째 시행 : 1 S | 1 B
87816번째 시행 : 0 S | 1 B
87817번째 시행 : 1 S | 1 B
87818번째 시행 : 0 S | 0 B
87819번째 시행 : 0 S | 0 B
87820번째 시행 : 0 S | 2 B
87821번째 시행 : 0 S | 0 B
87822번째 시행 : 1 S | 0 B
87823번째 시행 : 0 S | 2 B
87824번째 시행 : 0 S | 0 B
87825번째 시행 : 0 S | 2 B
87826번째 시행 : 0 S | 0 B
87827번째 시행 : 1 S | 0 B
87828번째 시행 : 0 S | 1 B
87829번째 시행 : 0 S | 1 B
87830번째 시행 : 0 S | 1 B
87831번째 시행 : 0 S | 0 B
87832번째 시행 : 0 S | 2 B
87833번째 시행 : 1 S | 0 B
87834번째 시행 : 0 S | 1 B
87835번째 시행 : 1 S | 0 B
87836번째 시행 : 0 S | 2 B
87837번째 시행 : 0 S | 1 B
87838번째 시행 : 1 S | 0 B
87839번째 시행 : 0 S | 1 B
87840번째 시행 : 0 S | 0 B
87841번째 시행 : 0 S | 0 B
87842번째 시행 : 0 S | 2 B
87843번째 시행 : 1 S | 0 B
87844번째 시행 : 0 S | 1 B
87845번째 시행 : 0 S | 0 B
87846번째 시행 : 0 S | 1 B
87847번째 시행 : 0 S | 1 B
87848번째 시행 : 1 S | 0 B
87849번째 시행 : 1 S | 0 B
87850번째 시행 : 0 S | 1 B
87851번째 시행 : 0 S | 1 B
87852번째 시행 : 0 S | 0 B
87853번째 시행 : 2 S | 0 B
87854번째 시행 : 0 S | 1 B
87855번째 시행 : 0 S | 0 B
87856번째 시행 : 0 S | 3 B
87857번째 시행 : 2 S | 0 B
87858번째 시행 : 0 S | 2 B
87859번째 시행 : 0 S | 0 B
87860번째 시행 : 0 S | 1 B
87861번째 시행 : 0 S | 2 B
87862번째 시행 : 2 S | 0 B
87863번째 시행 : 0 S | 1 B
87864번째 시행 : 0 S | 1 B
87865번째 시행 : 0 S | 1 B
87866번째 시행 : 0 S | 0 B
87867번째 시행 : 0 S | 2 B
87868번째 시행 : 0 S | 0 B
87869번째 시행 : 0 S | 2 B
87870번째 시행 : 0 S | 0 B
87871번째 시행 : 0 S | 0 B
87872번째 시행 : 0 S | 1 B
87873번째 시행 : 0 S | 2 B
87874번째 시행 : 0 S | 2 B
87875번째 시행 : 1 S | 1 B
87876번째 시행 : 1 S | 1 B
87877번째 시행 : 0 S | 2 B
87878번째 시행 : 0 S | 1 B
87879번째 시행 : 0 S | 2 B
87880번째 시행 : 0 S | 0 B
87881번째 시행 : 1 S | 1 B
87882번째 시행 : 0 S | 0 B
87883번째 시행 : 1 S | 1 B
87884번째 시행 : 1 S | 0 B
87885번째 시행 : 0 S | 0 B
87886번째 시행 : 0 S | 1 B
87887번째 시행 : 1 S | 0 B
87888번째 시행 : 0 S | 2 B
87889번째 시행 : 0 S | 0 B
87890번째 시행 : 0 S | 0 B
87891번째 시행 : 0 S | 1 B
87892번째 시행 : 0 S | 1 B
87893번째 시행 : 0 S | 0 B
87894번째 시행 : 0 S | 1 B
87895번째 시행 : 2 S | 0 B
87896번째 시행 : 0 S | 1 B
87897번째 시행 : 0 S | 1 B
87898번째 시행 : 0 S | 1 B
87899번째 시행 : 0 S | 0 B
87900번째 시행 : 0 S | 1 B
87901번째 시행 : 0 S | 1 B
87902번째 시행 : 0 S | 0 B
87903번째 시행 : 0 S | 0 B
87904번째 시행 : 0 S | 2 B
87905번째 시행 : 0 S | 1 B
87906번째 시행 : 0 S | 0 B
87907번째 시행 : 1 S | 0 B
87908번째 시행 : 0 S | 1 B
87909번째 시행 : 0 S | 0 B
87910번째 시행 : 0 S | 1 B
87911번째 시행 : 0 S | 1 B
87912번째 시행 : 0 S | 0 B
87913번째 시행 : 1 S | 0 B
87914번째 시행 : 0 S | 0 B
87915번째 시행 : 2 S | 0 B
87916번째 시행 : 0 S | 2 B
87917번째 시행 : 1 S | 0 B
87918번째 시행 : 0 S | 1 B
87919번째 시행 : 1 S | 0 B
87920번째 시행 : 0 S | 1 B
87921번째 시행 : 0 S | 2 B
87922번째 시행 : 0 S | 0 B
87923번째 시행 : 0 S | 0 B
87924번째 시행 : 1 S | 0 B
87925번째 시행 : 0 S | 0 B
87926번째 시행 : 0 S | 0 B
87927번째 시행 : 0 S | 0 B
87928번째 시행 : 1 S | 1 B
87929번째 시행 : 2 S | 0 B
87930번째 시행 : 0 S | 1 B
87931번째 시행 : 1 S | 0 B
87932번째 시행 : 1 S | 0 B
87933번째 시행 : 1 S | 1 B
87934번째 시행 : 0 S | 1 B
87935번째 시행 : 1 S | 0 B
87936번째 시행 : 0 S | 2 B
87937번째 시행 : 0 S | 0 B
87938번째 시행 : 0 S | 1 B
87939번째 시행 : 1 S | 0 B
87940번째 시행 : 0 S | 1 B
87941번째 시행 : 0 S | 2 B
87942번째 시행 : 1 S | 0 B
87943번째 시행 : 0 S | 1 B
87944번째 시행 : 0 S | 0 B
87945번째 시행 : 1 S | 1 B
87946번째 시행 : 0 S | 1 B
87947번째 시행 : 1 S | 0 B
87948번째 시행 : 0 S | 1 B
87949번째 시행 : 0 S | 0 B
87950번째 시행 : 0 S | 0 B
87951번째 시행 : 1 S | 1 B
87952번째 시행 : 0 S | 1 B
87953번째 시행 : 1 S | 1 B
87954번째 시행 : 1 S | 0 B
87955번째 시행 : 1 S | 1 B
87956번째 시행 : 0 S | 0 B
87957번째 시행 : 1 S | 0 B
87958번째 시행 : 0 S | 1 B
87959번째 시행 : 1 S | 0 B
87960번째 시행 : 1 S | 0 B
87961번째 시행 : 0 S | 0 B
87962번째 시행 : 0 S | 1 B
87963번째 시행 : 2 S | 0 B
87964번째 시행 : 1 S | 0 B
87965번째 시행 : 1 S | 0 B
87966번째 시행 : 0 S | 1 B
87967번째 시행 : 1 S | 0 B
87968번째 시행 : 0 S | 1 B
87969번째 시행 : 0 S | 1 B
87970번째 시행 : 2 S | 0 B
87971번째 시행 : 0 S | 0 B
87972번째 시행 : 0 S | 2 B
87973번째 시행 : 1 S | 0 B
87974번째 시행 : 0 S | 0 B
87975번째 시행 : 0 S | 0 B
87976번째 시행 : 0 S | 0 B
87977번째 시행 : 0 S | 1 B
87978번째 시행 : 1 S | 0 B
87979번째 시행 : 0 S | 1 B
87980번째 시행 : 0 S | 1 B
87981번째 시행 : 1 S | 0 B
87982번째 시행 : 0 S | 1 B
87983번째 시행 : 1 S | 0 B
87984번째 시행 : 0 S | 1 B
87985번째 시행 : 1 S | 0 B
87986번째 시행 : 0 S | 0 B
87987번째 시행 : 1 S | 0 B
87988번째 시행 : 0 S | 0 B
87989번째 시행 : 0 S | 2 B
87990번째 시행 : 0 S | 0 B
87991번째 시행 : 1 S | 0 B
87992번째 시행 : 1 S | 1 B
87993번째 시행 : 0 S | 1 B
87994번째 시행 : 1 S | 1 B
87995번째 시행 : 0 S | 0 B
87996번째 시행 : 1 S | 1 B
87997번째 시행 : 2 S | 0 B
87998번째 시행 : 0 S | 1 B
87999번째 시행 : 1 S | 1 B
88000번째 시행 : 1 S | 0 B
88001번째 시행 : 0 S | 1 B
88002번째 시행 : 0 S | 1 B
88003번째 시행 : 0 S | 0 B
88004번째 시행 : 0 S | 2 B
88005번째 시행 : 0 S | 0 B
88006번째 시행 : 1 S | 0 B
88007번째 시행 : 0 S | 1 B
88008번째 시행 : 0 S | 1 B
88009번째 시행 : 0 S | 0 B
88010번째 시행 : 0 S | 0 B
88011번째 시행 : 1 S | 0 B
88012번째 시행 : 1 S | 0 B
88013번째 시행 : 0 S | 0 B
88014번째 시행 : 1 S | 2 B
88015번째 시행 : 0 S | 1 B
88016번째 시행 : 0 S | 2 B
88017번째 시행 : 0 S | 1 B
88018번째 시행 : 0 S | 2 B
88019번째 시행 : 0 S | 1 B
88020번째 시행 : 0 S | 2 B
88021번째 시행 : 1 S | 1 B
88022번째 시행 : 0 S | 1 B
88023번째 시행 : 0 S | 0 B
88024번째 시행 : 0 S | 0 B
88025번째 시행 : 0 S | 0 B
88026번째 시행 : 0 S | 0 B
88027번째 시행 : 0 S | 0 B
88028번째 시행 : 1 S | 1 B
88029번째 시행 : 0 S | 2 B
88030번째 시행 : 0 S | 1 B
88031번째 시행 : 0 S | 1 B
88032번째 시행 : 1 S | 0 B
88033번째 시행 : 2 S | 0 B
88034번째 시행 : 1 S | 1 B
88035번째 시행 : 1 S | 0 B
88036번째 시행 : 0 S | 0 B
88037번째 시행 : 0 S | 0 B
88038번째 시행 : 1 S | 0 B
88039번째 시행 : 0 S | 1 B
88040번째 시행 : 0 S | 1 B
88041번째 시행 : 0 S | 1 B
88042번째 시행 : 1 S | 0 B
88043번째 시행 : 0 S | 1 B
88044번째 시행 : 0 S | 1 B
88045번째 시행 : 0 S | 0 B
88046번째 시행 : 1 S | 0 B
88047번째 시행 : 0 S | 0 B
88048번째 시행 : 1 S | 0 B
88049번째 시행 : 1 S | 0 B
88050번째 시행 : 0 S | 0 B
88051번째 시행 : 0 S | 1 B
88052번째 시행 : 0 S | 0 B
88053번째 시행 : 0 S | 0 B
88054번째 시행 : 1 S | 0 B
88055번째 시행 : 1 S | 1 B
88056번째 시행 : 0 S | 1 B
88057번째 시행 : 0 S | 1 B
88058번째 시행 : 0 S | 1 B
88059번째 시행 : 1 S | 1 B
88060번째 시행 : 1 S | 0 B
88061번째 시행 : 1 S | 1 B
88062번째 시행 : 0 S | 1 B
88063번째 시행 : 0 S | 2 B
88064번째 시행 : 0 S | 1 B
88065번째 시행 : 1 S | 1 B
88066번째 시행 : 1 S | 0 B
88067번째 시행 : 0 S | 1 B
88068번째 시행 : 0 S | 0 B
88069번째 시행 : 0 S | 0 B
88070번째 시행 : 0 S | 2 B
88071번째 시행 : 0 S | 2 B
88072번째 시행 : 1 S | 0 B
88073번째 시행 : 0 S | 1 B
88074번째 시행 : 0 S | 1 B
88075번째 시행 : 0 S | 1 B
88076번째 시행 : 0 S | 1 B
88077번째 시행 : 0 S | 1 B
88078번째 시행 : 2 S | 0 B
88079번째 시행 : 0 S | 1 B
88080번째 시행 : 0 S | 0 B
88081번째 시행 : 1 S | 0 B
88082번째 시행 : 0 S | 2 B
88083번째 시행 : 0 S | 1 B
88084번째 시행 : 1 S | 0 B
88085번째 시행 : 0 S | 1 B
88086번째 시행 : 2 S | 0 B
88087번째 시행 : 1 S | 0 B
88088번째 시행 : 0 S | 0 B
88089번째 시행 : 0 S | 1 B
88090번째 시행 : 1 S | 1 B
88091번째 시행 : 0 S | 1 B
88092번째 시행 : 1 S | 2 B
88093번째 시행 : 0 S | 1 B
88094번째 시행 : 1 S | 0 B
88095번째 시행 : 0 S | 1 B
88096번째 시행 : 0 S | 0 B
88097번째 시행 : 0 S | 0 B
88098번째 시행 : 0 S | 1 B
88099번째 시행 : 0 S | 1 B
88100번째 시행 : 0 S | 1 B
88101번째 시행 : 1 S | 0 B
88102번째 시행 : 0 S | 1 B
88103번째 시행 : 0 S | 2 B
88104번째 시행 : 0 S | 1 B
88105번째 시행 : 1 S | 0 B
88106번째 시행 : 2 S | 0 B
88107번째 시행 : 0 S | 1 B
88108번째 시행 : 0 S | 1 B
88109번째 시행 : 0 S | 0 B
88110번째 시행 : 1 S | 0 B
88111번째 시행 : 2 S | 0 B
88112번째 시행 : 0 S | 0 B
88113번째 시행 : 0 S | 0 B
88114번째 시행 : 0 S | 1 B
88115번째 시행 : 0 S | 1 B
88116번째 시행 : 0 S | 2 B
88117번째 시행 : 0 S | 1 B
88118번째 시행 : 0 S | 1 B
88119번째 시행 : 0 S | 1 B
88120번째 시행 : 0 S | 1 B
88121번째 시행 : 0 S | 1 B
88122번째 시행 : 0 S | 1 B
88123번째 시행 : 0 S | 2 B
88124번째 시행 : 1 S | 0 B
88125번째 시행 : 0 S | 1 B
88126번째 시행 : 0 S | 0 B
88127번째 시행 : 0 S | 1 B
88128번째 시행 : 0 S | 1 B
88129번째 시행 : 0 S | 1 B
88130번째 시행 : 0 S | 2 B
88131번째 시행 : 0 S | 0 B
88132번째 시행 : 1 S | 1 B
88133번째 시행 : 0 S | 0 B
88134번째 시행 : 0 S | 2 B
88135번째 시행 : 0 S | 1 B
88136번째 시행 : 1 S | 0 B
88137번째 시행 : 1 S | 1 B
88138번째 시행 : 0 S | 1 B
88139번째 시행 : 1 S | 0 B
88140번째 시행 : 1 S | 1 B
88141번째 시행 : 1 S | 0 B
88142번째 시행 : 1 S | 1 B
88143번째 시행 : 0 S | 0 B
88144번째 시행 : 1 S | 0 B
88145번째 시행 : 0 S | 0 B
88146번째 시행 : 1 S | 1 B
88147번째 시행 : 0 S | 1 B
88148번째 시행 : 0 S | 1 B
88149번째 시행 : 1 S | 0 B
88150번째 시행 : 1 S | 0 B
88151번째 시행 : 0 S | 0 B
88152번째 시행 : 0 S | 2 B
88153번째 시행 : 2 S | 0 B
88154번째 시행 : 0 S | 1 B
88155번째 시행 : 0 S | 1 B
88156번째 시행 : 0 S | 0 B
88157번째 시행 : 0 S | 1 B
88158번째 시행 : 0 S | 0 B
88159번째 시행 : 1 S | 1 B
88160번째 시행 : 0 S | 2 B
88161번째 시행 : 0 S | 1 B
88162번째 시행 : 0 S | 1 B
88163번째 시행 : 1 S | 0 B
88164번째 시행 : 0 S | 1 B
88165번째 시행 : 0 S | 0 B
88166번째 시행 : 1 S | 1 B
88167번째 시행 : 0 S | 2 B
88168번째 시행 : 0 S | 2 B
88169번째 시행 : 0 S | 1 B
88170번째 시행 : 1 S | 0 B
88171번째 시행 : 1 S | 0 B
88172번째 시행 : 1 S | 0 B
88173번째 시행 : 0 S | 2 B
88174번째 시행 : 1 S | 1 B
88175번째 시행 : 0 S | 1 B
88176번째 시행 : 1 S | 0 B
88177번째 시행 : 1 S | 0 B
88178번째 시행 : 0 S | 0 B
88179번째 시행 : 1 S | 0 B
88180번째 시행 : 0 S | 1 B
88181번째 시행 : 0 S | 0 B
88182번째 시행 : 0 S | 0 B
88183번째 시행 : 2 S | 0 B
88184번째 시행 : 0 S | 1 B
88185번째 시행 : 0 S | 1 B
88186번째 시행 : 1 S | 1 B
88187번째 시행 : 0 S | 2 B
88188번째 시행 : 2 S | 0 B
88189번째 시행 : 0 S | 2 B
88190번째 시행 : 1 S | 1 B
88191번째 시행 : 0 S | 1 B
88192번째 시행 : 0 S | 1 B
88193번째 시행 : 0 S | 1 B
88194번째 시행 : 1 S | 1 B
88195번째 시행 : 0 S | 0 B
88196번째 시행 : 1 S | 1 B
88197번째 시행 : 0 S | 1 B
88198번째 시행 : 1 S | 1 B
88199번째 시행 : 0 S | 2 B
88200번째 시행 : 0 S | 2 B
88201번째 시행 : 0 S | 1 B
88202번째 시행 : 0 S | 1 B
88203번째 시행 : 2 S | 0 B
88204번째 시행 : 1 S | 0 B
88205번째 시행 : 0 S | 2 B
88206번째 시행 : 1 S | 0 B
88207번째 시행 : 1 S | 0 B
88208번째 시행 : 2 S | 0 B
88209번째 시행 : 1 S | 1 B
88210번째 시행 : 0 S | 1 B
88211번째 시행 : 1 S | 1 B
88212번째 시행 : 0 S | 1 B
88213번째 시행 : 0 S | 1 B
88214번째 시행 : 0 S | 1 B
88215번째 시행 : 1 S | 0 B
88216번째 시행 : 0 S | 2 B
88217번째 시행 : 1 S | 0 B
88218번째 시행 : 0 S | 1 B
88219번째 시행 : 1 S | 1 B
88220번째 시행 : 1 S | 0 B
88221번째 시행 : 0 S | 1 B
88222번째 시행 : 2 S | 0 B
88223번째 시행 : 1 S | 1 B
88224번째 시행 : 0 S | 1 B
88225번째 시행 : 0 S | 1 B
88226번째 시행 : 0 S | 1 B
88227번째 시행 : 1 S | 0 B
88228번째 시행 : 1 S | 0 B
88229번째 시행 : 0 S | 1 B
88230번째 시행 : 0 S | 1 B
88231번째 시행 : 0 S | 2 B
88232번째 시행 : 0 S | 1 B
88233번째 시행 : 0 S | 1 B
88234번째 시행 : 0 S | 0 B
88235번째 시행 : 0 S | 1 B
88236번째 시행 : 0 S | 1 B
88237번째 시행 : 0 S | 0 B
88238번째 시행 : 1 S | 1 B
88239번째 시행 : 1 S | 0 B
88240번째 시행 : 0 S | 1 B
88241번째 시행 : 0 S | 0 B
88242번째 시행 : 0 S | 1 B
88243번째 시행 : 1 S | 0 B
88244번째 시행 : 2 S | 0 B
88245번째 시행 : 1 S | 0 B
88246번째 시행 : 1 S | 0 B
88247번째 시행 : 0 S | 0 B
88248번째 시행 : 0 S | 2 B
88249번째 시행 : 0 S | 1 B
88250번째 시행 : 0 S | 0 B
88251번째 시행 : 0 S | 2 B
88252번째 시행 : 0 S | 1 B
88253번째 시행 : 0 S | 2 B
88254번째 시행 : 1 S | 0 B
88255번째 시행 : 0 S | 1 B
88256번째 시행 : 0 S | 0 B
88257번째 시행 : 0 S | 1 B
88258번째 시행 : 0 S | 1 B
88259번째 시행 : 0 S | 1 B
88260번째 시행 : 0 S | 0 B
88261번째 시행 : 0 S | 1 B
88262번째 시행 : 0 S | 0 B
88263번째 시행 : 0 S | 1 B
88264번째 시행 : 1 S | 1 B
88265번째 시행 : 0 S | 0 B
88266번째 시행 : 0 S | 2 B
88267번째 시행 : 1 S | 1 B
88268번째 시행 : 1 S | 0 B
88269번째 시행 : 0 S | 1 B
88270번째 시행 : 0 S | 1 B
88271번째 시행 : 0 S | 1 B
88272번째 시행 : 1 S | 0 B
88273번째 시행 : 0 S | 0 B
88274번째 시행 : 1 S | 1 B
88275번째 시행 : 0 S | 1 B
88276번째 시행 : 0 S | 1 B
88277번째 시행 : 0 S | 0 B
88278번째 시행 : 1 S | 0 B
88279번째 시행 : 0 S | 2 B
88280번째 시행 : 0 S | 0 B
88281번째 시행 : 1 S | 0 B
88282번째 시행 : 0 S | 1 B
88283번째 시행 : 0 S | 1 B
88284번째 시행 : 0 S | 0 B
88285번째 시행 : 0 S | 0 B
88286번째 시행 : 1 S | 0 B
88287번째 시행 : 0 S | 1 B
88288번째 시행 : 0 S | 1 B
88289번째 시행 : 0 S | 1 B
88290번째 시행 : 0 S | 2 B
88291번째 시행 : 0 S | 0 B
88292번째 시행 : 0 S | 1 B
88293번째 시행 : 0 S | 0 B
88294번째 시행 : 0 S | 2 B
88295번째 시행 : 2 S | 0 B
88296번째 시행 : 0 S | 0 B
88297번째 시행 : 0 S | 0 B
88298번째 시행 : 0 S | 0 B
88299번째 시행 : 1 S | 1 B
88300번째 시행 : 0 S | 2 B
88301번째 시행 : 0 S | 1 B
88302번째 시행 : 1 S | 1 B
88303번째 시행 : 0 S | 0 B
88304번째 시행 : 0 S | 1 B
88305번째 시행 : 1 S | 0 B
88306번째 시행 : 1 S | 0 B
88307번째 시행 : 1 S | 1 B
88308번째 시행 : 0 S | 1 B
88309번째 시행 : 0 S | 0 B
88310번째 시행 : 1 S | 1 B
88311번째 시행 : 1 S | 1 B
88312번째 시행 : 0 S | 1 B
88313번째 시행 : 1 S | 0 B
88314번째 시행 : 1 S | 0 B
88315번째 시행 : 1 S | 1 B
88316번째 시행 : 0 S | 1 B
88317번째 시행 : 2 S | 0 B
88318번째 시행 : 0 S | 1 B
88319번째 시행 : 0 S | 1 B
88320번째 시행 : 0 S | 1 B
88321번째 시행 : 0 S | 1 B
88322번째 시행 : 1 S | 1 B
88323번째 시행 : 0 S | 0 B
88324번째 시행 : 0 S | 1 B
88325번째 시행 : 0 S | 1 B
88326번째 시행 : 0 S | 1 B
88327번째 시행 : 0 S | 1 B
88328번째 시행 : 0 S | 1 B
88329번째 시행 : 1 S | 0 B
88330번째 시행 : 0 S | 0 B
88331번째 시행 : 1 S | 1 B
88332번째 시행 : 0 S | 2 B
88333번째 시행 : 1 S | 0 B
88334번째 시행 : 0 S | 2 B
88335번째 시행 : 0 S | 2 B
88336번째 시행 : 0 S | 0 B
88337번째 시행 : 0 S | 0 B
88338번째 시행 : 0 S | 0 B
88339번째 시행 : 0 S | 0 B
88340번째 시행 : 0 S | 2 B
88341번째 시행 : 0 S | 1 B
88342번째 시행 : 0 S | 1 B
88343번째 시행 : 3 S | 0 B
88344번째 시행 : 0 S | 0 B
88345번째 시행 : 0 S | 0 B
88346번째 시행 : 0 S | 2 B
88347번째 시행 : 0 S | 1 B
88348번째 시행 : 0 S | 1 B
88349번째 시행 : 0 S | 2 B
88350번째 시행 : 0 S | 0 B
88351번째 시행 : 0 S | 1 B
88352번째 시행 : 0 S | 1 B
88353번째 시행 : 0 S | 0 B
88354번째 시행 : 1 S | 0 B
88355번째 시행 : 1 S | 0 B
88356번째 시행 : 1 S | 0 B
88357번째 시행 : 0 S | 1 B
88358번째 시행 : 1 S | 0 B
88359번째 시행 : 1 S | 1 B
88360번째 시행 : 0 S | 1 B
88361번째 시행 : 0 S | 0 B
88362번째 시행 : 1 S | 0 B
88363번째 시행 : 0 S | 0 B
88364번째 시행 : 0 S | 1 B
88365번째 시행 : 0 S | 1 B
88366번째 시행 : 1 S | 0 B
88367번째 시행 : 0 S | 1 B
88368번째 시행 : 0 S | 1 B
88369번째 시행 : 1 S | 1 B
88370번째 시행 : 0 S | 1 B
88371번째 시행 : 0 S | 1 B
88372번째 시행 : 0 S | 1 B
88373번째 시행 : 0 S | 2 B
88374번째 시행 : 2 S | 0 B
88375번째 시행 : 0 S | 0 B
88376번째 시행 : 0 S | 2 B
88377번째 시행 : 0 S | 1 B
88378번째 시행 : 1 S | 0 B
88379번째 시행 : 0 S | 1 B
88380번째 시행 : 0 S | 1 B
88381번째 시행 : 1 S | 0 B
88382번째 시행 : 0 S | 1 B
88383번째 시행 : 0 S | 0 B
88384번째 시행 : 0 S | 1 B
88385번째 시행 : 1 S | 0 B
88386번째 시행 : 0 S | 2 B
88387번째 시행 : 0 S | 1 B
88388번째 시행 : 1 S | 1 B
88389번째 시행 : 0 S | 2 B
88390번째 시행 : 0 S | 1 B
88391번째 시행 : 0 S | 0 B
88392번째 시행 : 0 S | 0 B
88393번째 시행 : 0 S | 2 B
88394번째 시행 : 0 S | 0 B
88395번째 시행 : 0 S | 0 B
88396번째 시행 : 1 S | 0 B
88397번째 시행 : 0 S | 1 B
88398번째 시행 : 0 S | 1 B
88399번째 시행 : 0 S | 1 B
88400번째 시행 : 0 S | 0 B
88401번째 시행 : 1 S | 0 B
88402번째 시행 : 0 S | 1 B
88403번째 시행 : 0 S | 1 B
88404번째 시행 : 0 S | 0 B
88405번째 시행 : 1 S | 1 B
88406번째 시행 : 2 S | 0 B
88407번째 시행 : 0 S | 1 B
88408번째 시행 : 1 S | 1 B
88409번째 시행 : 1 S | 0 B
88410번째 시행 : 1 S | 1 B
88411번째 시행 : 1 S | 0 B
88412번째 시행 : 0 S | 0 B
88413번째 시행 : 0 S | 2 B
88414번째 시행 : 0 S | 1 B
88415번째 시행 : 1 S | 0 B
88416번째 시행 : 0 S | 0 B
88417번째 시행 : 0 S | 1 B
88418번째 시행 : 0 S | 0 B
88419번째 시행 : 1 S | 1 B
88420번째 시행 : 0 S | 1 B
88421번째 시행 : 0 S | 2 B
88422번째 시행 : 0 S | 1 B
88423번째 시행 : 0 S | 1 B
88424번째 시행 : 0 S | 1 B
88425번째 시행 : 1 S | 0 B
88426번째 시행 : 0 S | 0 B
88427번째 시행 : 0 S | 1 B
88428번째 시행 : 0 S | 1 B
88429번째 시행 : 0 S | 0 B
88430번째 시행 : 0 S | 2 B
88431번째 시행 : 1 S | 0 B
88432번째 시행 : 0 S | 2 B
88433번째 시행 : 1 S | 0 B
88434번째 시행 : 0 S | 1 B
88435번째 시행 : 0 S | 1 B
88436번째 시행 : 0 S | 1 B
88437번째 시행 : 1 S | 1 B
88438번째 시행 : 1 S | 0 B
88439번째 시행 : 1 S | 0 B
88440번째 시행 : 0 S | 2 B
88441번째 시행 : 0 S | 1 B
88442번째 시행 : 0 S | 0 B
88443번째 시행 : 1 S | 0 B
88444번째 시행 : 1 S | 1 B
88445번째 시행 : 1 S | 0 B
88446번째 시행 : 0 S | 1 B
88447번째 시행 : 0 S | 1 B
88448번째 시행 : 0 S | 0 B
88449번째 시행 : 1 S | 0 B
88450번째 시행 : 0 S | 1 B
88451번째 시행 : 1 S | 0 B
88452번째 시행 : 0 S | 1 B
88453번째 시행 : 1 S | 0 B
88454번째 시행 : 0 S | 0 B
88455번째 시행 : 1 S | 1 B
88456번째 시행 : 1 S | 0 B
88457번째 시행 : 0 S | 1 B
88458번째 시행 : 1 S | 0 B
88459번째 시행 : 1 S | 0 B
88460번째 시행 : 1 S | 0 B
88461번째 시행 : 0 S | 1 B
88462번째 시행 : 1 S | 0 B
88463번째 시행 : 1 S | 0 B
88464번째 시행 : 0 S | 0 B
88465번째 시행 : 0 S | 2 B
88466번째 시행 : 0 S | 1 B
88467번째 시행 : 0 S | 1 B
88468번째 시행 : 0 S | 1 B
88469번째 시행 : 0 S | 2 B
88470번째 시행 : 0 S | 0 B
88471번째 시행 : 0 S | 2 B
88472번째 시행 : 0 S | 1 B
88473번째 시행 : 0 S | 1 B
88474번째 시행 : 0 S | 1 B
88475번째 시행 : 0 S | 1 B
88476번째 시행 : 1 S | 1 B
88477번째 시행 : 0 S | 1 B
88478번째 시행 : 0 S | 1 B
88479번째 시행 : 0 S | 2 B
88480번째 시행 : 0 S | 1 B
88481번째 시행 : 1 S | 0 B
88482번째 시행 : 0 S | 1 B
88483번째 시행 : 1 S | 0 B
88484번째 시행 : 1 S | 0 B
88485번째 시행 : 0 S | 0 B
88486번째 시행 : 0 S | 1 B
88487번째 시행 : 0 S | 1 B
88488번째 시행 : 0 S | 1 B
88489번째 시행 : 0 S | 1 B
88490번째 시행 : 0 S | 0 B
88491번째 시행 : 0 S | 0 B
88492번째 시행 : 0 S | 0 B
88493번째 시행 : 0 S | 2 B
88494번째 시행 : 0 S | 0 B
88495번째 시행 : 0 S | 0 B
88496번째 시행 : 0 S | 2 B
88497번째 시행 : 0 S | 0 B
88498번째 시행 : 1 S | 0 B
88499번째 시행 : 0 S | 2 B
88500번째 시행 : 1 S | 0 B
88501번째 시행 : 0 S | 1 B
88502번째 시행 : 1 S | 1 B
88503번째 시행 : 0 S | 1 B
88504번째 시행 : 1 S | 0 B
88505번째 시행 : 0 S | 0 B
88506번째 시행 : 1 S | 1 B
88507번째 시행 : 0 S | 0 B
88508번째 시행 : 0 S | 1 B
88509번째 시행 : 0 S | 0 B
88510번째 시행 : 0 S | 1 B
88511번째 시행 : 2 S | 0 B
88512번째 시행 : 0 S | 2 B
88513번째 시행 : 1 S | 0 B
88514번째 시행 : 0 S | 1 B
88515번째 시행 : 0 S | 0 B
88516번째 시행 : 0 S | 2 B
88517번째 시행 : 0 S | 0 B
88518번째 시행 : 1 S | 0 B
88519번째 시행 : 0 S | 2 B
88520번째 시행 : 0 S | 1 B
88521번째 시행 : 0 S | 1 B
88522번째 시행 : 0 S | 1 B
88523번째 시행 : 0 S | 1 B
88524번째 시행 : 1 S | 0 B
88525번째 시행 : 0 S | 1 B
88526번째 시행 : 1 S | 1 B
88527번째 시행 : 0 S | 1 B
88528번째 시행 : 0 S | 1 B
88529번째 시행 : 1 S | 0 B
88530번째 시행 : 1 S | 0 B
88531번째 시행 : 1 S | 1 B
88532번째 시행 : 1 S | 0 B
88533번째 시행 : 0 S | 0 B
88534번째 시행 : 1 S | 0 B
88535번째 시행 : 0 S | 1 B
88536번째 시행 : 0 S | 1 B
88537번째 시행 : 1 S | 0 B
88538번째 시행 : 0 S | 0 B
88539번째 시행 : 0 S | 0 B
88540번째 시행 : 1 S | 0 B
